,Load (%),Mean Voltage Siglent,Mean Current Siglent,Mean Power Siglent,Mean Voltage Pi,Mean Current Pi,Mean Power Pi,Mean Voltage Abs Error (%),Mean Current Abs Error (%),Mean Power Abs Error (%)
0,0,5.0,0.5321030042918454,2.659710300429185,0.7942096638095238,0.9892611476190476,0.8133346361904763,84.11580672380951,85.91534714892572,69.42017948123026
1,0,5.0,0.5321030042918454,2.659710300429185,0.7942096638095238,0.9892611476190476,0.8133346361904763,84.11580672380951,85.91534714892572,69.42017948123026
2,0,5.0,0.5321030042918454,2.659710300429185,0.7942096638095238,0.9892611476190476,0.8133346361904763,84.11580672380951,85.91534714892572,69.42017948123026
3,0,5.0,0.5321030042918454,2.659710300429185,0.7942096638095238,0.9892611476190476,0.8133346361904763,84.11580672380951,85.91534714892572,69.42017948123026
4,10,5.0,0.6601716738197425,3.3004291845493556,0.8451564752380951,0.9503476095238096,0.8115226076190475,83.0968704952381,43.95461774739802,75.41160369632794
5,20,5.0,0.6688841201716738,3.344527896995708,0.8450830161904761,1.0490113523809521,0.897309599047619,83.09833967619046,56.83005781505413,73.17081433664686
6,30,5.0,0.7097424892703863,3.549892703862661,0.8521167619047617,1.1786919619047618,1.0145328276190477,82.95766476190477,66.07318565871046,71.4207467027066
7,40,5.0,0.7388412017167384,3.6924892703862655,0.855448678095238,1.327168095238095,1.1465410009523809,82.89102643809525,79.62832773190594,68.94937487976931
8,50,5.0,0.7340772532188842,3.6700643776824036,0.8554015971428572,1.4696993999999999,1.2716456733333334,82.89196805714285,100.21045381197378,65.35086193402523
9,60,5.0,0.788733905579399,3.9430257510729616,0.8593661647619046,1.5321923904761903,1.3292058190476193,82.8126767047619,94.25973444753224,66.28969976455465
10,70,5.0,0.7738841201716739,3.869957081545065,0.8590059857142855,1.630618,1.4148770714285717,82.8198802857143,110.70570612539166,63.439463497520556
11,80,5.0,0.7270171673819742,3.6350858369098704,0.8591077885714284,1.7283632285714288,1.5001852561904763,82.81784422857143,137.73348224985565,58.73040353111001
12,90,5.0,0.5302360515021459,2.65118025751073,0.858952259047619,1.7821983714285714,1.5469279466666666,82.82095481904761,236.11414508305245,41.65134783709041
13,100,5.0,0.5230257510729613,2.6137339055793993,0.8590576428571428,1.8453462285714286,1.6022704971428574,82.81884714285714,252.82129508648333,38.698025314567204
