,ID,round,load,period,filename,duration,3V7_WL_SW,3V3_SYS,1V8_SYS,DDR_VDD2,DDR_VDDQ,1V1_SYS,0V8_SW,VDD_CORE,3V3_DAC,3V3_ADC,0V8_AON,HDMI
0,0,11,40,0.05,pmic_log_7_0_0.04s_20251104_184711.csv,79.96047499999999,0.14038012625170948,58.87867524383747,22.765751609792574,0.07554314551655587,0.002329327247472165,16.538685545072447,18.68521374525277,101.34693111075777,0.04874249966346289,0.1505708018875046,0.22167883661803067,6.278026690574386
1,1,30,0,1.0,pmic_log_7_0_0.04s_20251104_184711.csv,79.509937,0.10675334967255286,57.84569459994139,21.656642652169165,0.029628794019670536,0.0,16.439291767404082,18.542764010949888,39.77463982271091,0.0634736440560322,0.1605397631027849,0.21940614273569964,6.397245201509783
2,2,28,80,0.1,pmic_log_7_0_0.04s_20251104_184711.csv,79.910289,0.15771075800457063,58.22842050710231,22.799463176837442,0.0364370746943257,0.0002077450443998244,16.5952164957125,18.834682019341187,131.36118566965433,0.0490419201716405,0.1391149183418643,0.22393308678484555,6.163154040855683
3,3,10,40,0.03,pmic_log_7_0_0.04s_20251104_184711.csv,79.979996,0.14919202936450965,58.90740843086442,22.758280234704714,0.04543717517469642,0.0009098368996177219,16.530612574522443,18.68264545107935,98.5259519759219,0.0520433326471342,0.15250113936916856,0.22095110128392154,6.243559299440922
4,4,6,5,0.1,pmic_log_7_0_0.04s_20251104_184711.csv,79.91075,0.044216670138840446,60.4615817072748,22.651469126099624,0.003988726800984566,0.0,16.495240032827297,18.59479126875422,66.96283151450794,0.055560857131351185,0.15155365152173284,0.21981942230954815,6.384792887507035
5,5,27,80,0.03,pmic_log_7_0_0.04s_20251104_184711.csv,79.979996,0.12796596129146137,58.288575780669035,22.813268354376927,0.05326339798288857,0.0022293788888274693,16.584535867547928,18.76573363321565,132.09437302109993,0.0489237033074635,0.14448871813012135,0.22344704264344034,6.174931928623325
6,6,27,0,0.05,pmic_log_7_0_0.04s_20251104_184711.csv,79.960384,0.05674446716791872,58.108059831580896,21.790545081394175,0.0008110248688999892,2.9489719000000422e-05,16.466785383881675,18.535898674482066,36.26190181436625,0.07614946896280829,0.1670281689138571,0.21891729646706443,6.630692566739943
7,7,5,90,2.0,pmic_log_7_0_0.04s_20251104_184711.csv,79.510638,0.19915317859558454,59.036685947029184,22.226750387188204,0.056054925402919654,0.0,16.145522007746173,18.342462116444228,139.66221464698128,0.0440508253503366,0.12222916519204764,0.21909863141477934,5.98711075894701
8,8,3,10,1.0,pmic_log_7_0_0.04s_20251104_184711.csv,79.510418,0.03715766143913572,60.143664292566605,22.53769749257595,0.020456140619043155,0.0,16.436167389641827,18.51508801577058,72.10524354929532,0.05695502841152318,0.14446867023701954,0.21901104289877574,6.276688128671103
9,9,29,80,0.5,pmic_log_7_0_0.04s_20251104_184711.csv,79.509869,0.14310109702026053,58.38129771313691,22.75858075351382,0.05875200146277271,0.0,16.578920415923992,18.781096702490434,131.79984994538486,0.05358093162727654,0.14446179452251381,0.22436701594314823,6.1274984098558765
